issue_d,spread
09/15/06,-0.258
10/15/06,-0.341
11/15/06,-0.508
12/15/06,-0.416
01/15/07,-0.2845
02/15/07,-0.413
03/15/07,-0.453
04/15/07,-0.288
05/15/07,-0.0125
06/15/07,0.226
07/15/07,0.0415
08/15/07,0.239
09/15/07,0.7935
10/15/07,0.7835
11/15/07,0.8175
12/15/07,0.9485
01/15/08,1.3275
02/15/08,1.7505
03/15/08,1.955
04/15/08,2.2695
05/15/08,2.272
06/15/08,2.2085
07/15/08,2.2715
08/15/08,2.1935
09/15/08,2.509
10/15/08,3.2235
11/15/08,3.206
12/15/08,2.4885
01/15/09,2.3505
02/15/09,2.6875
03/15/09,2.6135
04/15/09,2.7235
05/15/09,3.1555
06/15/09,3.334
07/15/09,3.3205
08/15/09,3.278
09/15/09,3.2185
10/15/09,3.2575
11/15/09,3.2395
12/15/09,3.459
01/15/10,3.644
02/15/10,3.5035
03/15/10,3.5855
04/15/10,3.585
05/15/10,3.3175
06/15/10,2.9495
07/15/10,2.758
08/15/10,2.543
09/15/10,2.339
10/15/10,2.417
11/15/10,2.557
12/15/10,2.8955
01/15/11,3.1915
02/15/11,3.251
03/15/11,3.328
04/15/11,3.3115
05/15/11,3.1265
06/15/11,3.073
07/15/11,2.9165
08/15/11,2.456
09/15/11,2.0555
10/15/11,2.009
11/15/11,2.0945
12/15/11,1.9595
01/15/12,1.7975
02/15/12,1.816
03/15/12,2.018
04/15/12,1.9825
05/15/12,1.657
06/15/12,1.5245
07/15/12,1.4605
08/15/12,1.4105
09/15/12,1.497
10/15/12,1.5585
11/15/12,1.5575
12/15/12,1.6225
01/15/13,1.808
02/15/13,1.8405
03/15/13,1.778
04/15/13,1.7015
05/15/13,1.858
06/15/13,2.2625
07/15/13,2.4905
08/15/13,2.657
09/15/13,2.682
10/15/13,2.557
11/15/13,2.5995
12/15/13,2.819
01/15/14,2.7885
02/15/14,2.611
03/15/14,2.6355
04/15/14,2.647
05/15/14,2.373
06/15/14,2.3055
07/15/14,2.5115
08/15/14,2.4285
09/15/14,2.396
10/15/14,2.3995
11/15/14,2.2435
12/15/14,2.1445
01/15/15,1.8775
02/15/15,1.8035
03/15/15,1.936
04/15/15,1.9605
05/15/15,2.075
06/15/15,2.2245
07/15/15,2.226
08/15/15,2.1635
09/15/15,2.1155
10/15/15,2.047
11/15/15,2.047
12/15/15,2.059
01/15/16,1.8495
02/15/16,1.5115
03/15/16,1.486
04/15/16,1.5935
05/15/16,1.5895
06/15/16,1.379
