addr_state,issue_d,gdp,gdp_LSFT
AL,05/15/06,35626.61,
AL,06/15/06,35699.31363,
AL,07/15/06,35772.01228,
AL,08/15/06,35844.71,
AL,09/15/06,35879.79716,
AL,10/15/06,35914.8834,
AL,11/15/06,35949.97,
AL,12/15/06,35956.70913,
AL,01/15/07,35963.44862,
AL,02/15/07,35970.18812,
AL,03/15/07,36102.39132,
AL,04/15/07,36234.59451,
AL,05/15/07,36366.79771,49.58558879
AL,06/15/07,36487.81528,55.25462791
AL,07/15/07,36608.83284,62.97748907
AL,08/15/07,36729.85041,72.48868407
AL,09/15/07,36750.99027,80.23005258
AL,10/15/07,36772.13012,85.03825293
AL,11/15/07,36793.26998,86.98991392
AL,12/15/07,36764.39144,84.51270573
AL,01/15/08,36735.51289,76.86782374
AL,02/15/08,36706.63435,64.25097181
AL,03/15/08,36827.14215,51.78267786
AL,04/15/08,36947.64994,43.66336802
AL,05/15/08,37068.15774,39.95730275
AL,06/15/08,37075.05259,36.98326093
AL,07/15/08,37081.94745,34.99953379
AL,08/15/08,37088.8423,34.63316846
AL,09/15/08,36814.85704,27.25142934
AL,10/15/08,36540.87177,11.18321093
AL,11/15/08,36266.88651,-11.94992016
AL,12/15/08,36098.62314,-37.04106
AL,01/15/09,35930.35976,-64.97331643
AL,02/15/09,35762.09639,-94.98083874
AL,03/15/09,35706.67668,-122.5776552
AL,04/15/09,35651.25697,-141.8723068
AL,05/15/09,35595.83726,-151.8981592
AL,06/15/09,35604.31819,-149.581963
AL,07/15/09,35612.79913,-138.6779143
AL,08/15/09,35621.28006,-119.1947279
AL,09/15/09,35626.43093,-91.2509011
AL,10/15/09,35631.58179,-65.63993302
AL,11/15/09,35636.73266,-43.89553868
AL,12/15/09,35766.18707,-23.45351385
AL,01/15/10,35895.64147,-2.464333791
AL,02/15/10,36025.09588,17.43618951
AL,03/15/10,36228.19528,37.04010121
AL,04/15/10,36431.29469,58.64708764
AL,05/15/10,36634.39409,80.83671374
AL,06/15/10,36851.72561,102.6577356
AL,07/15/10,37069.05714,125.0692374
AL,08/15/10,37286.38866,146.9236883
AL,09/15/10,37318.66886,160.9729644
AL,10/15/10,37350.94906,166.9582212
AL,11/15/10,37383.22926,164.7303961
AL,12/15/10,37332.60477,151.4073055
AL,01/15/11,37281.98029,132.0763131
AL,02/15/11,37231.3558,107.7268627
AL,03/15/11,37394.30011,86.38912885
AL,04/15/11,37557.24441,70.71160027
AL,05/15/11,37720.18872,60.91491016
AL,06/15/11,37845.69786,55.98556407
AL,07/15/11,37971.20699,56.89727099
AL,08/15/11,38096.71613,64.15455027
AL,09/15/11,38230.92144,78.54860709
AL,10/15/11,38365.12675,93.41882038
AL,11/15/11,38499.33206,108.2051621
AL,12/15/11,38600.06395,121.2440848
AL,01/15/12,38700.79584,128.9708384
AL,02/15/12,38801.52773,130.5537947
AL,03/15/12,38909.08578,125.3863634
AL,04/15/12,39016.64382,120.8135937
AL,05/15/12,39124.20187,117.1398058
AL,06/15/12,38989.95907,106.6978636
AL,07/15/12,38855.71627,89.68084907
AL,08/15/12,38721.47347,67.51597022
AL,09/15/12,38765.29605,47.50072313
AL,10/15/12,38809.11862,30.4184028
AL,11/15/12,38852.9412,16.76561802
AL,12/15/12,39048.65579,12.0464061
AL,01/15/13,39244.37038,14.63536473
AL,02/15/13,39440.08497,24.01061093
AL,03/15/13,39409.81353,32.20017286
AL,04/15/13,39379.54208,40.1863933
AL,05/15/13,39349.27064,48.72657714
AL,06/15/13,39501.06043,64.58004819
AL,07/15/13,39652.85022,78.2037422
AL,08/15/13,39804.64001,88.02605154
AL,09/15/13,39855.74038,89.15593714
AL,10/15/13,39906.84076,87.42369874
AL,11/15/13,39957.94113,82.78934769
AL,12/15/13,39936.08083,72.80759967
AL,01/15/14,39914.22052,63.68134967
AL,02/15/14,39892.36022,56.60606451
AL,03/15/14,40111.62334,60.72633434
AL,04/15/14,40330.88646,67.22100126
AL,05/15/14,40550.14958,74.71899588
AL,06/15/14,40792.03086,82.59490313
AL,07/15/14,41033.91213,96.35573308
AL,08/15/14,41275.79341,115.5064779
AL,09/15/14,41263.00239,131.1563393
AL,10/15/14,41250.21137,140.3369375
AL,11/15/14,41237.42035,143.3993245
AL,12/15/14,41391.52197,146.1965065
AL,01/15/15,41545.62359,145.3563632
AL,02/15/15,41699.72521,139.9120704
AL,03/15/15,41715.34599,124.3315023
AL,04/15/15,41730.96678,107.6826969
AL,05/15/15,41746.58756,91.08456769
AL,06/15/15,41908.66496,80.48426896
AL,07/15/15,42070.74235,77.06593681
AL,08/15/15,42232.81975,81.26805412
AL,09/15/15,42297.26559,90.31048121
AL,10/15/15,42361.71142,95.37304929
AL,11/15/15,42426.15726,96.03138038
AL,12/15/15,42490.6031,91.86109615
AL,01/15/16,42555.04893,88.8567656
AL,02/15/16,42619.49477,87.5110033
AL,03/15/16,42683.94061,88.31642341
AL,04/15/16,42748.38644,86.43945363
AK,05/15/06,66475.25,
AK,06/15/06,66764.53445,
AK,07/15/06,67053.81521,
AK,08/15/06,67343.1,
AK,09/15/06,67547.79641,
AK,10/15/06,67752.49683,
AK,11/15/06,67957.2,
AK,12/15/06,68374.37319,
AK,01/15/07,68791.54913,
AK,02/15/07,69208.72506,
AK,03/15/07,70258.27132,
AK,04/15/07,71307.81758,
AK,05/15/07,72357.36384,436.9954401
AK,06/15/07,72670.81855,492.8163034
AK,07/15/07,72984.27327,536.0554569
AK,08/15/07,73297.72798,566.5800763
AK,09/15/07,73831.11778,591.5079452
AK,10/15/07,74364.50757,606.2447148
AK,11/15/07,74897.89737,608.9843999
AK,12/15/07,75705.47843,606.9602873
AK,01/15/08,76513.05948,605.0319805
AK,02/15/08,77320.64054,601.0543968
AK,03/15/08,78990.16667,621.2982247
AK,04/15/08,80659.69279,683.2043543
AK,05/15/08,82329.21892,783.3663034
