issue_d,cc_rate
02/15/07,0.1341
03/15/07,0.134266667
04/15/07,0.134433333
05/15/07,0.1346
06/15/07,0.135033333
07/15/07,0.135466667
08/15/07,0.1359
09/15/07,0.1331
10/15/07,0.1303
11/15/07,0.1275
12/15/07,0.126566667
01/15/08,0.125633333
02/15/08,0.1247
03/15/08,0.122733333
04/15/08,0.120766667
05/15/08,0.1188
06/15/08,0.119
07/15/08,0.1192
08/15/08,0.1194
09/15/08,0.1197
10/15/08,0.12
11/15/08,0.1203
12/15/08,0.123433333
01/15/09,0.126566667
02/15/09,0.1297
03/15/09,0.130866667
04/15/09,0.132033333
05/15/09,0.1332
06/15/09,0.1345
07/15/09,0.1358
08/15/09,0.1371
09/15/09,0.136733333
10/15/09,0.136366667
11/15/09,0.136
12/15/09,0.1382
01/15/10,0.1404
02/15/10,0.1426
03/15/10,0.1412
04/15/10,0.1398
05/15/10,0.1384
06/15/10,0.137566667
07/15/10,0.136733333
08/15/10,0.1359
09/15/10,0.1354
10/15/10,0.1349
11/15/10,0.1344
12/15/10,0.134366667
01/15/11,0.134333333
02/15/11,0.1343
03/15/11,0.1325
04/15/11,0.1307
05/15/11,0.1289
06/15/11,0.126866667
07/15/11,0.124833333
08/15/11,0.1228
09/15/11,0.123066667
10/15/11,0.123333333
11/15/11,0.1236
12/15/11,0.123533333
01/15/12,0.123466667
02/15/12,0.1234
03/15/12,0.122466667
04/15/12,0.121533333
05/15/12,0.1206
06/15/12,0.120233333
07/15/12,0.119866667
08/15/12,0.1195
09/15/12,0.119266667
10/15/12,0.119033333
11/15/12,0.1188
12/15/12,0.118966667
01/15/13,0.119133333
02/15/13,0.1193
03/15/13,0.119366667
04/15/13,0.119433333
05/15/13,0.1195
06/15/13,0.119266667
07/15/13,0.119033333
08/15/13,0.1188
09/15/13,0.1187
10/15/13,0.1186
11/15/13,0.1185
12/15/13,0.118433333
01/15/14,0.118366667
02/15/14,0.1183
03/15/14,0.1183
04/15/14,0.1183
05/15/14,0.1183
06/15/14,0.118266667
07/15/14,0.118233333
08/15/14,0.1182
09/15/14,0.118766667
10/15/14,0.119333333
11/15/14,0.1199
12/15/14,0.119866667
01/15/15,0.119833333
02/15/15,0.1198
03/15/15,0.1198
04/15/15,0.1198
05/15/15,0.1198
06/15/15,0.1202
07/15/15,0.1206
08/15/15,0.121
