addr_state,issue_d,pdi,pdi_LSFT
AK,06/15/06,36864.28917,
AK,07/15/06,37061.42,
AK,08/15/06,37258.55083,
AK,09/15/06,37455.68167,
AK,10/15/06,37652.8125,
AK,11/15/06,37849.94333,
AK,12/15/06,38047.07417,
AK,01/15/07,38244.205,
AK,02/15/07,38441.33583,
AK,03/15/07,38638.46667,
AK,04/15/07,38835.5975,
AK,05/15/07,39032.72833,
AK,06/15/07,39229.85917,197.1308333
AK,07/15/07,39426.99,197.1308334
AK,08/15/07,39697.21333,199.5404762
AK,09/15/07,39967.43667,203.9581547
AK,10/15/07,40237.66,209.982262
AK,11/15/07,40507.88333,217.2111904
AK,12/15/07,40778.10667,225.2433333
AK,01/15/08,41048.33,233.6770834
AK,02/15/08,41318.55333,242.1108333
AK,03/15/08,41588.77667,250.1429762
AK,04/15/08,41859,257.3719048
AK,05/15/08,42129.22333,263.3960119
AK,06/15/08,42399.44667,267.8136904
AK,07/15/08,42669.67,270.2233334
AK,08/15/08,42673.68833,261.4473443
AK,09/15/08,42677.70667,245.3580311
AK,10/15/08,42681.725,223.4180587
AK,11/15/08,42685.74333,197.0900915
AK,12/15/08,42689.76167,167.8367948
AK,01/15/09,42693.78,137.1208334
AK,02/15/09,42697.79833,106.4048718
AK,03/15/09,42701.81667,77.15157505
AK,04/15/09,42705.835,50.82360813
AK,05/15/09,42709.85333,28.88363549
AK,06/15/09,42713.87167,12.79432231
AK,07/15/09,42717.89,4.018333407
AK,08/15/09,42834.28833,7.723168462
AK,09/15/09,42950.68667,14.51536626
AK,10/15/09,43067.085,23.77745429
AK,11/15/09,43183.48333,34.89195967
AK,12/15/09,43299.88167,47.24141022
AK,01/15/10,43416.28,60.20833341
AK,02/15/10,43532.67833,73.17525637
AK,03/15/10,43649.07667,85.52470692
AK,04/15/10,43765.475,96.63921253
AK,05/15/10,43881.87333,105.9013003
AK,06/15/10,43998.27167,112.6934981
AK,07/15/10,44114.67,116.3983334
AK,08/15/10,44301.05917,118.7057236
AK,09/15/10,44487.44833,122.9359386
AK,10/15/10,44673.8375,128.704414
AK,11/15/10,44860.22667,135.6265844
AK,12/15/10,45046.61583,143.3178845
