addr_state,issue_d,unemp,unemp_LSFT
AL,01/15/06,0.044,
AL,02/15/06,0.045,
AL,03/15/06,0.039,
AL,04/15/06,0.035,
AL,05/15/06,0.036,
AL,06/15/06,0.046,
AL,07/15/06,0.046,
AL,08/15/06,0.044,
AL,09/15/06,0.039,
AL,10/15/06,0.036,
AL,11/15/06,0.037,
AL,12/15/06,0.037,
AL,01/15/07,0.043,-0.000258242
AL,02/15/07,0.042,-7.69E-05
AL,03/15/07,0.038,2.20E-05
AL,04/15/07,0.033,-0.000236264
AL,05/15/07,0.033,-0.000615385
AL,06/15/07,0.042,-0.000648352
AL,07/15/07,0.044,-0.000263736
AL,08/15/07,0.043,9.89E-05
AL,09/15/07,0.04,0.000302198
AL,10/15/07,0.038,0.000269231
AL,11/15/07,0.039,0.000159341
AL,12/15/07,0.043,0.000203297
AL,01/15/08,0.048,0.000379121
AL,02/15/08,0.049,0.000758242
AL,03/15/08,0.047,0.001
AL,04/15/08,0.04,0.00082967
AL,05/15/08,0.049,0.000752747
AL,06/15/08,0.059,0.000917582
AL,07/15/08,0.06,0.001318681
AL,08/15/08,0.062,0.001763736
AL,09/15/08,0.059,0.001972527
AL,10/15/08,0.063,0.00210989
AL,11/15/08,0.067,0.002175824
AL,12/15/08,0.076,0.002417582
AL,01/15/09,0.097,0.003302198
AL,02/15/09,0.105,0.004346154
AL,03/15/09,0.104,0.005082418
AL,04/15/09,0.099,0.005274725
AL,05/15/09,0.106,0.005142857
AL,06/15/09,0.119,0.005423077
AL,07/15/09,0.118,0.00567033
AL,08/15/09,0.119,0.005664835
AL,09/15/09,0.115,0.00528022
AL,10/15/09,0.117,0.004554945
AL,11/15/09,0.111,0.003467033
AL,12/15/09,0.114,0.002368132
AL,01/15/10,0.123,0.001653846
AL,02/15/10,0.121,0.001423077
AL,03/15/10,0.115,0.00117033
AL,04/15/10,0.104,0.000461538
AL,05/15/10,0.099,-0.000604396
AL,06/15/10,0.105,-0.001203297
AL,07/15/10,0.102,-0.001395604
AL,08/15/10,0.101,-0.001565934
AL,09/15/10,0.098,-0.001703297
AL,10/15/10,0.099,-0.001846154
AL,11/15/10,0.1,-0.001791209
AL,12/15/10,0.098,-0.00193956
AL,01/15/11,0.11,-0.001505495
AL,02/15/11,0.105,-0.000868132
AL,03/15/11,0.099,-0.000406593
AL,04/15/11,0.094,-0.00021978
AL,05/15/11,0.096,-0.000274725
AL,06/15/11,0.106,-0.000148352
AL,07/15/11,0.104,0.000104396
AL,08/15/11,0.1,0.000115385
AL,09/15/11,0.095,-6.59E-05
AL,10/15/11,0.089,-0.000527473
AL,11/15/11,0.08,-0.001197802
AL,12/15/11,0.079,-0.001758242
AL,01/15/12,0.083,-0.002148352
AL,02/15/12,0.084,-0.001961538
AL,03/15/12,0.079,-0.001989011
AL,04/15/12,0.072,-0.002335165
AL,05/15/12,0.078,-0.002527473
AL,06/15/12,0.09,-0.002159341
AL,07/15/12,0.091,-0.001340659
AL,08/15/12,0.086,-0.000681319
AL,09/15/12,0.076,-0.000406593
AL,10/15/12,0.075,-0.000225275
AL,11/15/12,0.069,-0.000362637
AL,12/15/12,0.072,-0.000637363
AL,01/15/13,0.082,-0.000576923
AL,02/15/13,0.079,-0.000478022
AL,03/15/13,0.071,-0.000582418
AL,04/15/13,0.063,-0.001071429
AL,05/15/13,0.067,-0.00160989
AL,06/15/13,0.077,-0.00156044
AL,07/15/13,0.077,-0.001043956
AL,08/15/13,0.076,-0.000450549
AL,09/15/13,0.072,-9.89E-05
AL,10/15/13,0.07,-0.000120879
AL,11/15/13,0.067,-0.000247253
AL,12/15/13,0.066,-0.000593407
AL,01/15/14,0.076,-0.000478022
AL,02/15/14,0.078,6.59E-05
AL,03/15/14,0.075,0.000417582
AL,04/15/14,0.062,5.49E-05
AL,05/15/14,0.066,-0.000434066
AL,06/15/14,0.074,-0.000521978
AL,07/15/14,0.076,-0.000197802
AL,08/15/14,0.072,-2.97E-19
AL,09/15/14,0.063,-0.00010989
AL,10/15/14,0.06,-0.000401099
AL,11/15/14,0.058,-0.000769231
AL,12/15/14,0.056,-0.001252747
AL,01/15/15,0.064,-0.001450549
AL,02/15/15,0.062,-0.001318681
AL,03/15/15,0.059,-0.001131868
AL,04/15/15,0.055,-0.001087912
AL,05/15/15,0.061,-0.001236264
AL,06/15/15,0.066,-0.00106044
AL,07/15/15,0.067,-0.000543956
AL,08/15/15,0.065,2.20E-05
AL,09/15/15,0.059,0.000296703
AL,10/15/15,0.058,0.000263736
AL,11/15/15,0.057,0.00010989
AL,12/15/15,0.059,-3.85E-05
AL,01/15/16,0.063,-0.000137363
AL,02/15/16,0.064,6.59E-05
AL,03/15/16,0.061,9.34E-05
AL,04/15/16,0.054,-0.00021978
AL,05/15/16,0.057,-0.00056044
AL,06/15/16,0.065,-0.000417582
AK,01/15/06,0.079,
AK,02/15/06,0.079,
AK,03/15/06,0.075,
AK,04/15/06,0.07,
AK,05/15/06,0.066,
AK,06/15/06,0.065,
AK,07/15/06,0.058,
AK,08/15/06,0.055,
AK,09/15/06,0.057,
AK,10/15/06,0.06,
AK,11/15/06,0.064,
AK,12/15/06,0.066,
AK,01/15/07,0.073,-0.001115385
AK,02/15/07,0.073,-0.000434066
AK,03/15/07,0.071,0.000214286
AK,04/15/07,0.065,0.000554945
AK,05/15/07,0.062,0.000659341
AK,06/15/07,0.064,0.00071978
