,funded_amnt,term,int_rate,installment,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,rFunAmt_AI,rTotPay_AI,rRevBal_AI,rAPay_AI,pdi,pdi_LSFT,gdp,gdp_LSFT,3yr_rate,3yr_LSFT,cc_rate,unemp,unemp_LSFT,spread,loan_status,trueloan_status,predloan_status
0,9500,36,20.49,355.44,2.0,MORTGAGE,40000.0,Source Verified,small_business,0.339132,1.0,2.0,8.0,0.0,7838,84.3,0.2375,0.319896,0.19595,0.106632,34369.955,60.34423077,45070.33974,5.245415,0.0035,-5.33e-05,0.118966667,0.09,-0.000818681,1.6225,Default,0,0
1,12250,36,12.12,407.58,15.0,OWN,35000.0,Verified,debt_consolidation,0.387941714286,1.0,0.0,19.0,0.0,23463,43.1,0.35,0.419225142857,0.670371428571,0.139741714286,37433.89,43.57666659,39661.91173,102.6721594,0.0033,-9.78e-05,0.119866667,0.092,-0.001489011,1.4605,Default,0,0
2,11000,36,7.9,344.2,4.0,MORTGAGE,80000.0,Not Verified,credit_card,0.09903,0.0,0.0,8.0,0.0,7690,77.7,0.1375,0.15489,0.096125,0.05163,32888.03167,81.55884626,40448.54134,136.6694453,0.0039,-0.000792308,0.123533333,0.085,-0.000571429,1.9595,Default,0,1
3,13200,36,11.71,436.61,2.0,MORTGAGE,41600.0,Not Verified,debt_consolidation,0.221445192308,0.0,0.0,10.0,0.0,10086,77.6,0.317307692308,0.377835576923,0.242451923077,0.125945192308,40363.6725,161.0625,54402.00662,60.51484786,0.0039,-0.000792308,0.123533333,0.11,-0.001005495,1.9595,Default,0,0
4,20000,36,12.12,665.44,1.0,MORTGAGE,50000.0,Verified,debt_consolidation,0.3232056,0.0,0.0,7.0,0.0,15917,70.1,0.4,0.4791168,0.31834,0.1597056,37412.365,41.4304578,39840.78367,110.603017,0.0037,-1.37e-05,0.1195,0.09,-0.000972527,1.4105,Default,0,0
5,16000,36,14.09,547.55,5.0,RENT,225000.0,Source Verified,debt_consolidation,0.120102666667,0.0,2.0,14.0,0.0,4820,24.7,0.0711111111111,0.087608,0.0214222222222,0.0292026666667,45722.96167,139.9189195,66800.03767,326.9292208,0.0037,-1.37e-05,0.1195,0.085,0.000368132,1.4105,Default,0,0
6,16000,36,15.25,556.61,2.0,MORTGAGE,58200.0,Verified,debt_consolidation,0.229564948454,0.0,3.0,8.0,0.0,16052,88.2,0.274914089347,0.344294845361,0.275807560137,0.114764948454,31728.49,13.40148346,42686.87792,-89.38432352,0.0151,-0.000748901,0.1203,0.073,0.00221978,3.206,Default,0,0
7,17775,60,18.17,453.02,1.0,RENT,50004.0,Source Verified,debt_consolidation,0.282916102712,0.0,0.0,5.0,0.0,4258,77.4,0.355471562275,0.543580513559,0.085153187745,0.108716102712,31882.44333,37.34204203,42659.53039,77.8236672,0.0067,-0.000787912,0.1344,0.107,0.000159341,2.557,Default,0,0
8,14500,36,16.7,514.77,4.0,RENT,28800.0,Not Verified,other,0.2898875,0.0,2.0,4.0,0.0,5465,80.4,0.503472222222,0.6434625,0.189756944444,0.2144875,34976.01667,-58.35245407,38721.9106,-103.0363019,0.0132,0.000218132,0.136,0.109,0.002851648,3.2395,Default,0,0
9,24000,36,15.31,835.62,6.0,RENT,64500.0,Verified,major_purchase,0.258364186047,0.0,3.0,16.0,0.0,3786,15.4,0.372093023256,0.46639255814,0.0586976744186,0.155464186047,39546.56083,163.2161445,55099.31554,190.0893725,0.0037,-1.37e-05,0.1195,0.069,-0.00071978,1.4105,Default,0,0
10,20000,36,7.9,625.81,9.0,MORTGAGE,89000.0,Not Verified,home_improvement,0.107278876404,0.0,4.0,11.0,0.0,7081,12.9,0.224719101124,0.253136629213,0.0795617977528,0.0843788764045,41663.00667,135.8140019,56813.75981,197.9975919,0.0036,-4.34e-05,0.1188,0.095,-0.00139011,1.5575,Default,0,1
11,19325,36,14.33,663.59,3.0,MORTGAGE,105000.0,Verified,home_improvement,0.125638857143,3.0,0.0,6.0,0.0,290,9.1,0.184047619048,0.227516571429,0.0027619047619,0.0758388571429,48181.49,78.44387363,58746.04543,152.0685146,0.0036,-4.34e-05,0.1188,0.09,-0.000104396,1.5575,Default,0,0
12,5000,36,16.63,177.35,2.0,RENT,19000.0,Not Verified,educational,0.288810526316,0.0,6.0,5.0,0.0,679,18.9,0.263157894737,0.336031578947,0.0357368421053,0.112010526316,32308.84667,13.79666681,41540.06965,-169.3559515,0.0131,-0.001267582,0.130866667,0.103,0.003747253,2.6135,Default,0,0
13,12200,36,11.49,402.25,1.0,RENT,42000.0,Verified,major_purchase,0.341528571429,0.0,1.0,17.0,0.0,4761,68.0,0.290476190476,0.344785714286,0.113357142857,0.114928571429,39411.26,142.675,53969.50877,113.0699808,0.0068,0.000102198,0.124833333,0.122,-0.000428571,2.9165,Default,0,0
14,4000,36,13.47,135.7,0.5,RENT,60000.0,Verified,debt_consolidation,0.20574,0.0,0.0,8.0,0.0,1267,31.7,0.0666666666667,0.08142,0.0211166666667,0.02714,43014.9825,81.37993593,52303.24961,19.61127357,0.0137,-0.001068132,0.1297,0.068,0.002681319,2.6875,Default,0,0
15,19200,36,21.98,733.06,2.0,RENT,70000.0,Source Verified,credit_card,0.297067428571,0.0,0.0,17.0,0.0,8578,43.5,0.274285714286,0.377002285714,0.122542857143,0.125667428571,40923.34,135.13,49219.63638,96.28501824,0.0033,-9.78e-05,0.119866667,0.086,4.95e-05,1.4605,Default,0,0
16,15000,36,16.29,529.51,7.0,MORTGAGE,86400.0,Source Verified,small_business,0.237443055556,0.0,3.0,9.0,0.0,40291,81.0,0.173611111111,0.220629166667,0.466331018519,0.0735430555556,34161.605,107.5733333,41787.12614,180.0510821,0.0036,-0.000841758,0.123466667,0.098,-0.001873626,1.7975,Default,0,0
17,5000,36,13.11,168.74,8.0,RENT,36000.0,Source Verified,debt_consolidation,0.174546666667,0.0,0.0,10.0,0.0,14370,61.9,0.138888888889,0.16874,0.399166666667,0.0562466666667,41316.085,186.0169643,55401.29084,136.0975315,0.0039,-0.000298901,0.1206,0.102,-0.00121978,1.657,Default,0,0
18,10000,36,17.58,359.42,1.0,MORTGAGE,105000.0,Verified,debt_consolidation,0.199976571429,0.0,5.0,9.0,1.0,9705,78.9,0.0952380952381,0.123229714286,0.0924285714286,0.0410765714286,33897.96,-191.635,44121.33273,-430.2089382,0.0155,-0.000992308,0.1358,0.117,0.004489011,3.3205,Default,0,0
19,15000,36,13.99,512.6,6.0,MORTGAGE,49999.0,Not Verified,debt_consolidation,0.216126460529,0.0,0.0,13.0,0.0,9428,77.9,0.30000600012,0.369079381588,0.188563771275,0.123026460529,41506.5675,188.9064286,55525.39279,149.2812176,0.0039,-0.000159341,0.120233333,0.106,-0.001423077,1.5245,Default,0,0
20,7000,36,12.98,235.8,15.0,RENT,67350.0,Not Verified,debt_consolidation,0.081613363029,0.0,1.0,4.0,0.0,10392,90.4,0.103934669636,0.126040089087,0.15429844098,0.042013363029,45969.51,100.925,61313.80209,191.0081179,0.0103,-0.00071044,0.134333333,0.085,-0.001247253,3.1915,Default,0,0
21,6000,36,16.45,212.28,15.0,MORTGAGE,70000.0,Source Verified,small_business,0.101190857143,2.0,1.0,4.0,0.0,4185,90.0,0.0857142857143,0.109172571429,0.0597857142857,0.0363908571429,41469.64,122.5044368,69710.05445,441.8738512,0.0074,-0.000545604,0.1354,0.053,-0.001098901,2.339,Default,0,0
22,10000,60,15.2,238.96,5.0,RENT,42000.0,Source Verified,debt_consolidation,0.293174285714,0.0,0.0,20.0,1.0,5201,94.6,0.238095238095,0.341371428571,0.123833333333,0.0682742857143,43206.815,105.4975642,62318.17466,74.81054885,0.0099,-0.000776374,0.134366667,0.082,-0.000950549,2.8955,Default,0,0
23,16450,36,10.65,535.83,0.5,OWN,38400.0,Verified,debt_consolidation,0.399346875,1.0,0.0,9.0,0.0,21281,46.0,0.428385416667,0.502340625,0.554192708333,0.167446875,32244.49667,64.20176747,38230.92144,78.54860709,0.0035,-0.000238462,0.123066667,0.095,-6.59e-05,2.0555,Default,0,0
24,12000,36,15.27,417.58,4.0,MORTGAGE,86400.0,Not Verified,debt_consolidation,0.218997222222,0.0,3.0,15.0,0.0,14030,59.4,0.138888888889,0.173991666667,0.162384259259,0.0579972222222,32524.99,66.8575,38700.79584,128.9708384,0.0036,-0.000841758,0.123466667,0.083,-0.002148352,1.7975,Default,0,0
25,7200,36,7.9,225.29,5.0,MORTGAGE,35000.0,Not Verified,debt_consolidation,0.248342285714,1.0,0.0,7.0,0.0,5948,35.6,0.205714285714,0.231726857143,0.169942857143,0.0772422857143,39546.56083,163.2161445,55099.31554,190.0893725,0.0037,-1.37e-05,0.1195,0.069,-0.00071978,1.4105,Default,0,1
26,10000,36,15.31,348.18,15.0,MORTGAGE,114000.0,Verified,debt_consolidation,0.274950526316,0.0,2.0,18.0,0.0,14633,89.8,0.0877192982456,0.109951578947,0.128359649123,0.0366505263158,42826.58083,186.4621887,56818.90183,220.9279247,0.0039,-0.000159341,0.120233333,0.082,-0.000703297,1.5245,Default,0,0
27,4650,36,13.49,157.78,3.0,RENT,43000.0,Source Verified,debt_consolidation,0.147531627907,0.0,2.0,11.0,0.0,2166,35.2,0.108139534884,0.132094883721,0.0503720930233,0.044031627907,32915.6675,51.57837923,44708.24692,100.7364099,0.0071,0.000100549,0.126866667,0.108,-0.000225275,3.073,Default,0,0
